,A,B,CCR_MOS,no_answers,answers
13,/home/jtorres/noisy_enhanced/noisy_speech/female_american_13_people_drinking_2_snr_25_rms_-29.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_american_13_people_drinking_2_snr_25_rms_-29.wav ,1.0,14,"[1, 2, 2, 0, 1, 1, 2, 1, 0, 2, 1, -1, 1, 1]"
14,/home/jtorres/noisy_enhanced/noisy_speech/female_american_14_fork_and_plate_2_snr_25_rms_-35.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_american_14_fork_and_plate_2_snr_25_rms_-35.wav ,1.1111111111111112,9,"[1, 1, 0, 1, 2, 1, 1, 1, 2]"
15,/home/jtorres/noisy_enhanced/noisy_speech/female_american_15_people_drinking_4_snr_0_rms_-25.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_american_15_people_drinking_4_snr_0_rms_-25.wav ,1.5,14,"[2, 2, 2, 2, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1]"
16,/home/jtorres/noisy_enhanced/noisy_speech/female_american_16_can_opening_5_snr_5_rms_-35.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_american_16_can_opening_5_snr_5_rms_-35.wav ,1.4285714285714286,14,"[1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, -1, 1, 1]"
17,/home/jtorres/noisy_enhanced/noisy_speech/female_american_17_washing_machine_3_snr_5_rms_-25.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_american_17_washing_machine_3_snr_5_rms_-25.wav ,0.9333333333333333,15,"[0, 1, 1, 1, 2, 2, 1, 2, 2, -1, 0, 2, 2, 1, -2]"
18,/home/jtorres/noisy_enhanced/noisy_speech/female_american_18_cats_meowing_2_snr_15_rms_-26.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_american_18_cats_meowing_2_snr_15_rms_-26.wav ,0.14285714285714285,14,"[1, -1, 1, -2, 1, 1, 0, -1, 1, 0, 0, -1, 1, 1]"
19,/home/jtorres/noisy_enhanced/noisy_speech/female_american_19_people_drinking_1_snr_0_rms_-30.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_american_19_people_drinking_1_snr_0_rms_-30.wav ,1.1428571428571428,14,"[1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1]"
20,/home/jtorres/noisy_enhanced/noisy_speech/female_american_20_chairs_creaking_2_snr_0_rms_-28.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_american_20_chairs_creaking_2_snr_0_rms_-28.wav ,0.6,15,"[1, 2, -1, 1, 2, 2, 1, 1, 1, -1, 1, 1, -2, -1, 1]"
21,/home/jtorres/noisy_enhanced/noisy_speech/female_aussie_1_washing_machine_2_snr_0_rms_-29_r_meeting.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_aussie_1_washing_machine_2_snr_0_rms_-29_r_meeting.wav ,1.0,9,"[1, 2, 1, 1, 1, -1, 1, 2, 1]"
22,/home/jtorres/noisy_enhanced/noisy_speech/female_aussie_2_water_pouring_5_snr_5_rms_-22_r_meeting.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_aussie_2_water_pouring_5_snr_5_rms_-22_r_meeting.wav ,1.0,15,"[2, 2, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1]"
23,/home/jtorres/noisy_enhanced/noisy_speech/female_aussie_3_can_opening_1_snr_15_rms_-23_r_meeting.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_aussie_3_can_opening_1_snr_15_rms_-23_r_meeting.wav ,0.8571428571428571,14,"[1, 0, 1, 0, 2, 0, 1, 0, 0, 2, 1, 1, 2, 1]"
24,/home/jtorres/noisy_enhanced/noisy_speech/female_aussie_4_doors_opening_3_snr_5_rms_-35_r_meeting.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_aussie_4_doors_opening_3_snr_5_rms_-35_r_meeting.wav ,0.6153846153846154,13,"[2, 1, 1, 1, 0, 1, 1, 0, 1, -1, -1, 0, 2]"
25,/home/jtorres/noisy_enhanced/noisy_speech/female_aussie_5_doors_opening_1_snr_25_rms_-35_r_office.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_aussie_5_doors_opening_1_snr_25_rms_-35_r_office.wav ,0.21428571428571427,14,"[-1, -1, 0, 1, -1, -1, 0, 0, 2, 1, 1, -1, 2, 1]"
26,/home/jtorres/noisy_enhanced/noisy_speech/female_aussie_6_doors_opening_5_snr_15_rms_-20_r_office.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_aussie_6_doors_opening_5_snr_15_rms_-20_r_office.wav ,0.16666666666666666,12,"[1, 0, 1, -1, 0, 0, 0, 2, -1, 1, -1, 0]"
27,/home/jtorres/noisy_enhanced/noisy_speech/female_aussie_7_packet_of_crisps_opening_5_snr_-5_rms_-31_r_office.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_aussie_7_packet_of_crisps_opening_5_snr_-5_rms_-31_r_office.wav ,0.9285714285714286,14,"[2, 1, 1, 1, 1, 1, 2, 1, -2, 1, 2, 1, 1, 0]"
28,/home/jtorres/noisy_enhanced/noisy_speech/female_aussie_8_people_heavy_breathing_2_snr_-5_rms_-27_r_lecture.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_aussie_8_people_heavy_breathing_2_snr_-5_rms_-27_r_lecture.wav ,0.0,14,"[1, 1, 0, 0, 1, 1, 1, -1, 0, -1, -2, 0, 0, -1]"
29,/home/jtorres/noisy_enhanced/noisy_speech/female_aussie_9_baby_crying_2_snr_15_rms_-22_r_lecture.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_aussie_9_baby_crying_2_snr_15_rms_-22_r_lecture.wav ,0.2222222222222222,9,"[1, 1, -2, 1, 2, 1, 1, -2, -1]"
30,/home/jtorres/noisy_enhanced/noisy_speech/female_aussie_10_water_raining_1_snr_5_rms_-19_r_lecture.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_aussie_10_water_raining_1_snr_5_rms_-19_r_lecture.wav ,-0.125,16,"[0, 0, -1, -1, 1, -1, 1, 0, -1, 1, 1, -1, 1, -1, 0, -1]"
31,/home/jtorres/noisy_enhanced/noisy_speech/female_aussie_11_people_heavy_breathing_1_snr_-5_rms_-20.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_aussie_11_people_heavy_breathing_1_snr_-5_rms_-20.wav ,0.625,16,"[1, 1, -1, 1, 1, 1, 1, 0, 0, -1, 1, -1, 1, 1, 2, 2]"
32,/home/jtorres/noisy_enhanced/noisy_speech/female_aussie_12_washing_machine_4_snr_0_rms_-28.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_aussie_12_washing_machine_4_snr_0_rms_-28.wav ,0.7142857142857143,14,"[1, 1, 1, 0, 2, 1, 1, 1, 2, 2, -1, -1, 0, 0]"
33,/home/jtorres/noisy_enhanced/noisy_speech/female_aussie_13_packet_of_crisps_opening_5_snr_0_rms_-33.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_aussie_13_packet_of_crisps_opening_5_snr_0_rms_-33.wav ,0.4,15,"[1, -1, 1, -1, 1, 1, 1, 1, 1, 0, 1, 1, -2, 0, 1]"
34,/home/jtorres/noisy_enhanced/noisy_speech/female_aussie_14_door_audio_3_snr_15_rms_-31.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_aussie_14_door_audio_3_snr_15_rms_-31.wav ,-0.15384615384615385,13,"[1, 0, -1, 0, -1, -2, 2, 1, -1, -1, -1, 1, 0]"
35,/home/jtorres/noisy_enhanced/noisy_speech/female_aussie_15_fork_and_plate_5_snr_-5_rms_-32.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_aussie_15_fork_and_plate_5_snr_-5_rms_-32.wav ,1.2307692307692308,13,"[2, 2, 2, 1, 1, 2, 2, 1, 1, 1, -1, 1, 1]"
36,/home/jtorres/noisy_enhanced/noisy_speech/female_aussie_16_cats_meowing_2_snr_-5_rms_-26.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_aussie_16_cats_meowing_2_snr_-5_rms_-26.wav ,0.1111111111111111,9,"[0, 0, 0, 1, 0, 1, 0, -1, 0]"
37,/home/jtorres/noisy_enhanced/noisy_speech/female_aussie_17_baby_crying_2_snr_25_rms_-30.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_aussie_17_baby_crying_2_snr_25_rms_-30.wav ,0.7857142857142857,14,"[1, 2, 2, 0, 0, 2, 1, 1, 0, 2, 1, -2, 0, 1]"
38,/home/jtorres/noisy_enhanced/noisy_speech/female_aussie_18_plate_noise_4_snr_15_rms_-20.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_aussie_18_plate_noise_4_snr_15_rms_-20.wav ,1.0625,16,"[2, -1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, -1]"
39,/home/jtorres/noisy_enhanced/noisy_speech/female_aussie_19_doors_opening_3_snr_15_rms_-21.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_aussie_19_doors_opening_3_snr_15_rms_-21.wav ,1.2222222222222223,9,"[1, 2, -1, 1, 2, 1, 1, 2, 2]"
40,/home/jtorres/noisy_enhanced/noisy_speech/female_aussie_20_doors_opening_4_snr_0_rms_-32.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_aussie_20_doors_opening_4_snr_0_rms_-32.wav ,0.9375,16,"[-1, 1, -1, 1, 1, 1, 2, 1, 1, 2, 0, 1, 1, 1, 2, 2]"
41,/home/jtorres/noisy_enhanced/noisy_speech/female_canadian_1_can_opening_1_snr_5_rms_-29_r_meeting.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_canadian_1_can_opening_1_snr_5_rms_-29_r_meeting.wav ,0.7142857142857143,14,"[1, 1, 1, -1, 2, 0, 2, 1, -1, 2, 2, -1, 2, -1]"
42,/home/jtorres/noisy_enhanced/noisy_speech/female_canadian_2_fan_4_snr_-5_rms_-31_r_meeting.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_canadian_2_fan_4_snr_-5_rms_-31_r_meeting.wav ,0.2222222222222222,9,"[1, 0, -1, 0, 0, 1, 0, 1, 0]"
43,/home/jtorres/noisy_enhanced/noisy_speech/female_canadian_3_car_horns_1_snr_5_rms_-27_r_meeting.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_canadian_3_car_horns_1_snr_5_rms_-27_r_meeting.wav ,-0.06666666666666667,15,"[-1, 0, 0, 1, -1, 1, -1, 1, 1, -1, 0, 1, 1, -1, -2]"
44,/home/jtorres/noisy_enhanced/noisy_speech/female_canadian_4_baby_crying_4_snr_-5_rms_-35_r_meeting.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_canadian_4_baby_crying_4_snr_-5_rms_-35_r_meeting.wav ,0.15384615384615385,13,"[0, 0, 2, 1, -1, 1, 0, 1, 1, -1, -1, 0, -1]"
45,/home/jtorres/noisy_enhanced/noisy_speech/female_canadian_5_people_munching_4_snr_-5_rms_-28_r_office.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_canadian_5_people_munching_4_snr_-5_rms_-28_r_office.wav ,0.5833333333333334,12,"[-1, 2, -1, 0, 1, 1, 1, -1, 2, 1, 0, 2]"
46,/home/jtorres/noisy_enhanced/noisy_speech/female_canadian_6_air_conditioner_4_snr_0_rms_-27_r_office.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_canadian_6_air_conditioner_4_snr_0_rms_-27_r_office.wav ,0.46153846153846156,13,"[-2, 1, 1, -1, 1, 1, -2, 1, 1, 1, 1, 2, 1]"
47,/home/jtorres/noisy_enhanced/noisy_speech/female_canadian_7_washing_machine_2_snr_25_rms_-20_r_office.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_canadian_7_washing_machine_2_snr_25_rms_-20_r_office.wav ,0.2857142857142857,14,"[1, -2, 2, -1, -1, 1, 2, -2, 1, -1, 1, 2, 0, 1]"
48,/home/jtorres/noisy_enhanced/noisy_speech/female_canadian_8_plate_noise_2_snr_5_rms_-22_r_lecture.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_canadian_8_plate_noise_2_snr_5_rms_-22_r_lecture.wav ,0.16666666666666666,12,"[-1, 1, 1, -1, 0, 1, -2, 1, 2, -1, 2, -1]"
49,/home/jtorres/noisy_enhanced/noisy_speech/female_canadian_9_can_opening_1_snr_0_rms_-29_r_lecture.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_canadian_9_can_opening_1_snr_0_rms_-29_r_lecture.wav ,0.5555555555555556,9,"[1, 0, 1, 2, -1, 1, 1, -1, 1]"
50,/home/jtorres/noisy_enhanced/noisy_speech/female_canadian_10_fork_and_plate_5_snr_-5_rms_-25_r_lecture.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_canadian_10_fork_and_plate_5_snr_-5_rms_-25_r_lecture.wav ,0.16666666666666666,12,"[-1, -1, 2, -2, -1, 2, 0, 1, 1, -1, 1, 1]"
51,/home/jtorres/noisy_enhanced/noisy_speech/female_canadian_11_people_heavy_breathing_2_snr_25_rms_-33.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_canadian_11_people_heavy_breathing_2_snr_25_rms_-33.wav ,0.4166666666666667,12,"[1, -2, 1, 1, 1, -1, 1, 0, 1, 1, 2, -1]"
52,/home/jtorres/noisy_enhanced/noisy_speech/female_canadian_12_dogs_barking_5_snr_0_rms_-35.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_canadian_12_dogs_barking_5_snr_0_rms_-35.wav ,1.1538461538461537,13,"[1, 2, 2, -1, 2, 1, -1, 1, 1, 2, 2, 2, 1]"
53,/home/jtorres/noisy_enhanced/noisy_speech/female_canadian_13_water_pouring_5_snr_5_rms_-30.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_canadian_13_water_pouring_5_snr_5_rms_-30.wav ,0.0,12,"[0, -1, 0, -1, -1, 1, -1, 2, 0, -1, 1, 1]"
54,/home/jtorres/noisy_enhanced/noisy_speech/female_canadian_14_people_heavy_breathing_1_snr_-5_rms_-22.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_canadian_14_people_heavy_breathing_1_snr_-5_rms_-22.wav ,1.3636363636363635,11,"[1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 2]"
55,/home/jtorres/noisy_enhanced/noisy_speech/female_canadian_15_plate_noise_5_snr_15_rms_-20.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_canadian_15_plate_noise_5_snr_15_rms_-20.wav ,1.0666666666666667,15,"[-1, 1, 2, 1, 1, 2, 1, 2, 1, 2, 1, 2, 1, 1, -1]"
56,/home/jtorres/noisy_enhanced/noisy_speech/female_canadian_16_construction_noise_4_snr_0_rms_-20.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_canadian_16_construction_noise_4_snr_0_rms_-20.wav ,1.5,16,"[2, 2, 2, 2, 2, 1, -1, 2, 2, 2, -1, 2, 1, 2, 2, 2]"
57,/home/jtorres/noisy_enhanced/noisy_speech/female_canadian_17_packet_of_crisps_opening_1_snr_5_rms_-28.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_canadian_17_packet_of_crisps_opening_1_snr_5_rms_-28.wav ,0.9333333333333333,15,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, -2]"
58,/home/jtorres/noisy_enhanced/noisy_speech/female_canadian_18_fan_3_snr_-5_rms_-19.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_canadian_18_fan_3_snr_-5_rms_-19.wav ,1.1538461538461537,13,"[1, 2, 2, 1, -1, 1, 1, 2, 2, 0, 1, 1, 2]"
59,/home/jtorres/noisy_enhanced/noisy_speech/female_canadian_19_can_opening_4_snr_0_rms_-33.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_canadian_19_can_opening_4_snr_0_rms_-33.wav ,1.2,15,"[1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 2, 2, -1]"
60,/home/jtorres/noisy_enhanced/noisy_speech/female_canadian_20_people_snoring_3_snr_25_rms_-23.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_canadian_20_people_snoring_3_snr_25_rms_-23.wav ,1.8181818181818181,11,"[2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1]"
61,/home/jtorres/noisy_enhanced/noisy_speech/female_english_1_door_audio_2_snr_25_rms_-18_r_meeting.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_english_1_door_audio_2_snr_25_rms_-18_r_meeting.wav ,0.07142857142857142,14,"[-2, 1, 0, 1, 1, 0, -2, -1, -1, 1, 1, -1, 1, 2]"
62,/home/jtorres/noisy_enhanced/noisy_speech/female_english_2_baby_crying_1_snr_15_rms_-35_r_meeting.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_english_2_baby_crying_1_snr_15_rms_-35_r_meeting.wav ,0.45454545454545453,11,"[1, 1, 0, 0, 1, 1, 1, 0, -1, 1, 0]"
63,/home/jtorres/noisy_enhanced/noisy_speech/female_english_3_washing_machine_1_snr_25_rms_-33_r_meeting.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_english_3_washing_machine_1_snr_25_rms_-33_r_meeting.wav ,0.13333333333333333,15,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, -1, 1]"
64,/home/jtorres/noisy_enhanced/noisy_speech/female_english_4_packet_of_crisps_opening_5_snr_15_rms_-35_r_meeting.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_english_4_packet_of_crisps_opening_5_snr_15_rms_-35_r_meeting.wav ,0.5,16,"[1, 1, -1, -1, 1, 1, 1, 1, -1, 1, 1, -1, 1, 1, 1, 1]"
65,/home/jtorres/noisy_enhanced/noisy_speech/female_english_5_water_raining_5_snr_15_rms_-25_r_office.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_english_5_water_raining_5_snr_15_rms_-25_r_office.wav ,1.3846153846153846,13,"[2, 2, 2, 2, 0, 0, 1, 1, 1, 1, 2, 2, 2]"
66,/home/jtorres/noisy_enhanced/noisy_speech/female_english_6_washing_machine_5_snr_0_rms_-34_r_office.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_english_6_washing_machine_5_snr_0_rms_-34_r_office.wav ,0.07142857142857142,14,"[1, 0, -1, 1, 1, 0, 0, 0, -1, 0, -1, 0, 1, 0]"
67,/home/jtorres/noisy_enhanced/noisy_speech/female_english_7_chairs_creaking_1_snr_5_rms_-33_r_office.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_english_7_chairs_creaking_1_snr_5_rms_-33_r_office.wav ,0.6,15,"[1, 1, 0, 1, 1, 1, 2, 1, 1, -1, 0, 1, -1, 0, 1]"
68,/home/jtorres/noisy_enhanced/noisy_speech/female_english_8_washing_machine_3_snr_15_rms_-24_r_lecture.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_english_8_washing_machine_3_snr_15_rms_-24_r_lecture.wav ,0.5,14,"[1, 1, 0, 1, 1, 1, -1, 0, 1, 1, -1, 1, 1, 0]"
69,/home/jtorres/noisy_enhanced/noisy_speech/female_english_9_fan_4_snr_15_rms_-22_r_lecture.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_english_9_fan_4_snr_15_rms_-22_r_lecture.wav ,0.45454545454545453,11,"[2, 2, -1, 1, 2, 0, 1, -1, 0, -1, 0]"
70,/home/jtorres/noisy_enhanced/noisy_speech/female_english_10_car_horns_2_snr_15_rms_-21_r_lecture.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_english_10_car_horns_2_snr_15_rms_-21_r_lecture.wav ,0.875,16,"[2, -1, 2, 0, 1, 2, 2, 0, 1, 0, 1, 0, 1, 1, 1, 1]"
71,/home/jtorres/noisy_enhanced/noisy_speech/female_english_11_car_horns_5_snr_15_rms_-32.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_english_11_car_horns_5_snr_15_rms_-32.wav ,-0.3333333333333333,15,"[-1, 1, 0, 0, -1, 0, -1, 0, -1, -1, 0, 0, 0, 0, -1]"
72,/home/jtorres/noisy_enhanced/noisy_speech/female_english_12_air_conditioner_3_snr_-5_rms_-21.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_english_12_air_conditioner_3_snr_-5_rms_-21.wav ,1.0,13,"[1, 2, 1, 1, 1, 1, -1, 1, 1, 2, 1, 1, 1]"
73,/home/jtorres/noisy_enhanced/noisy_speech/female_english_13_water_raining_2_snr_15_rms_-25.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_english_13_water_raining_2_snr_15_rms_-25.wav ,1.1666666666666667,12,"[1, 1, 2, 1, 1, -1, 1, 2, 1, 2, 2, 1]"
74,/home/jtorres/noisy_enhanced/noisy_speech/female_english_14_car_horns_3_snr_0_rms_-27.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_english_14_car_horns_3_snr_0_rms_-27.wav ,1.3333333333333333,12,"[-2, 1, 2, 1, 2, 2, 2, 2, 2, 1, 1, 2]"
75,/home/jtorres/noisy_enhanced/noisy_speech/female_english_15_car_horns_1_snr_25_rms_-32.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_english_15_car_horns_1_snr_25_rms_-32.wav ,1.0,13,"[-1, 2, 2, 2, 2, 2, 1, 1, 1, -1, 1, 0, 1]"
76,/home/jtorres/noisy_enhanced/noisy_speech/female_english_16_fork_and_plate_5_snr_0_rms_-28.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_english_16_fork_and_plate_5_snr_0_rms_-28.wav ,1.3571428571428572,14,"[1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 2, 1]"
77,/home/jtorres/noisy_enhanced/noisy_speech/female_english_17_baby_crying_1_snr_5_rms_-31.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_english_17_baby_crying_1_snr_5_rms_-31.wav ,1.1538461538461537,13,"[2, 1, -1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1]"
78,/home/jtorres/noisy_enhanced/noisy_speech/female_english_18_plate_noise_1_snr_0_rms_-26.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_english_18_plate_noise_1_snr_0_rms_-26.wav ,1.2222222222222223,9,"[1, 1, 2, 2, 1, 2, 1, 0, 1]"
79,/home/jtorres/noisy_enhanced/noisy_speech/female_english_19_doors_opening_2_snr_15_rms_-23.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_english_19_doors_opening_2_snr_15_rms_-23.wav ,1.0,12,"[2, 1, 2, -1, 0, 2, 1, 1, 0, 2, 1, 1]"
80,/home/jtorres/noisy_enhanced/noisy_speech/female_english_20_doors_opening_1_snr_25_rms_-28.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_english_20_doors_opening_1_snr_25_rms_-28.wav ,0.5,14,"[1, 1, 2, 0, 1, 1, 1, -2, 1, 1, 1, -1, -1, 1]"
81,/home/jtorres/noisy_enhanced/noisy_speech/female_indian_1_dogs_barking_1_snr_25_rms_-24_r_meeting.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_indian_1_dogs_barking_1_snr_25_rms_-24_r_meeting.wav ,0.14285714285714285,14,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, -1, 1, 0, 0]"
82,/home/jtorres/noisy_enhanced/noisy_speech/female_indian_2_fan_4_snr_25_rms_-34_r_meeting.wav ,/home/jtorres/noisy_enhanced/enhanced_speech/female_indian_2_fan_4_snr_25_rms_-34_r_meeting.wav ,0.375,16,"[0, 0, 0, 0, 0, 0, 2, 1, 2, -1, 0, 1, -1, 2, 0, 0]"
